enota,okraj,id,naslov
VE 3000 - LJUBLJANA CENTER,VO 3011 - LJUBLJANA ŠIŠKA 4,35,"GD Medno, Medno 79, Lj. Šentvid"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4001 - KOČEVJE,1,"Polom, Polom bš - VD"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4001 - KOČEVJE,9,"v Kočevju, Roška cesta 10 - GD"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,17,"Gasilski dom, Otavice 5, Dolenja vas"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,40,"OŠ Sodražica, CNO 10, Sodražica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,50,"PRIZMA PONIKVE, Ponikve 76, Videm Dobrepolje"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,1,"ZADRUŽNI HRAM I., C. 2. grupe odr. 17, Iv. Gorica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,2,"ZADRUŽNI HRAM II., C. 2.grupe odr. 17, Iv. Gorica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,3,"ZD IV. GORICA, C. 2.grupe odr. 16a, Iv. Gorica"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,13,"GD Rova, Žiška c.10, Rova"
VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,23,"Večnamenski objekt, Češnjice 8, Blagovica"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,4,"Bobnar, Pletovarje 3a, Dramlje"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,7,"GD Dolga Gora, Dolga Gora 50b, Ponikva"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,12,"GD Dobrina, Dobrina 6b, Loka pri Žusmu"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,17,"KD Šentvid, Šentvid 6, Planina pri Sevnici"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,18,"OŠ B. Kocena, Ponikva 29a, Ponikva"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,19,"V prostorih Slovenskih železnic, Hotunje 1,Ponikva"
VE 5000 - CELJE,VO 5001 - ŠENTJUR,20,"Lavbič, Lutrje 16, Ponikva"
