,address,lat,lon
218,"Etnografski muzej DAVČA, Davča 25 a, Železniki",46.1801409,14.0347781
219,"Objekt na športnem igrišcu,Dolenja vas 127,Selca ",46.1199444,14.8153333
220,"Osnovna šola DRAŽGOŠE, Dražgoše 35, Železniki",46.2532932,14.1752564
221,"Gasilski dom RUDNO, Rudno 5, Železniki",46.2469548,14.1664163
222,"Osnovna šola SELCA, Selca 95, Selca",46.2238628,14.2008104
223,"Berce Mirko, Lajše 12, Selca",46.2441173,14.1941926
224,"Krajevna skupnost SORICA,Spodnja Sorica 16,Sorica",46.1199444,14.8153333
226,"Osnovna šola ŽELEZNIKI, Otoki 13, Železniki",46.2240457,14.1642425
227,"Restavracija LUŠINA, Češnjica 54, Železniki",46.2262396,14.1729529
228,"Kulturni dom ZALI LOG, Zali Log 46 a, Železniki",46.2064878,14.1015906
229,"Objekt pri šoli v PODLONKU,Podlonk 11,Železniki",46.1199444,14.8153333
230,"Osnovna šola MARTINJ VRH,Martinj Vrh 21,Železniki",46.1199444,14.8153333
231,"OŠ Žiri-večnamenski prostor, Jobstova c. 22, Žiri",46.0453078,14.1072277
232,"Družbeni dom Partizan ŽIRI, Loška c. 17, Žiri",46.0496924,14.1092697
233,"Zadružni dom ŽIRI,avla dvorane,Trg svobode 6,Žiri",46.1199444,14.8153333
234,"Trgovina na SELU, Selo 2, Žiri",46.0625845,14.1001017
235,"Gasilski dom BREKOVICE, Brekovice 14, Žiri",46.0178839,14.1238559
236,"Gasilski dom RAČEVA, Račeva 41, Žiri",46.0331251,14.1423471
237,"Gasilski dom DOBRAČEVA, Loška c. 64, Žiri",46.0559745,14.1109839
238,"Krajevni dom Motnik, Motnik 33, Motnik",46.2128204,14.8474714
239,"KD Špitalič, Špitalič 32A, Motnik",46.2161712,14.8449474
240,"KD Laze, Laze 4A, Laze v Tuhinju",46.218266,14.7592128
241,"KD Šmartno, Šmartno v Tuhinju 27, Laze v Tuhinju",46.2166016,14.7352648
243,"GD Srednja vas, Srednja vas 23, Kamnik",46.2257699,14.6838726
244,"PŠ Sela pri Kamniku,OŠ Šmartno, Šmartno 27A, Laze",46.2164499,14.7356039
246,"OŠ F. Albrehta,PŠ Vranja Peč,Vranja Peč 3, Kamnik",46.2750998,14.6267707
247,"KS Godič, Godič 73A, Stahovica",46.253997,14.609643
249,"OŠ Stranje, Zg. Stranje 22, Stahovica",46.2573476,14.6029063
250,"ŠKD Mekinje, Cankarjeva c. 37, Kamnik",46.2262132,14.6154468
252,"OŠ M. Vere, Ljubljanska c. 16A, Kamnik",46.2063196,14.5957971
253,"OŠ M. Vere, Ljubljanska c. 16A, Kamnik",46.2063196,14.5957971
254,"KD Šmarca, Trg padlih borcev 2, Kamnik",46.1898083,14.5956648
255,"KD Volčji Potok, Volčji Potok 43H, Radomlje",46.1949006,14.6111699
256,"Občina Kamnik, Glavni trg 24, Kamnik",46.2263601,14.6121987
257,"GSŠRM Kamnik, Novi trg 41A, Kamnik",46.2209368,14.611596
258,"Vrtec A. Medveda,Sneguljčica,Kovinarska 11,Kamnik",46.1199444,14.8153333
259,"KD Podgorje, Podgorje 55A, Kamnik",46.2118325,14.590091
260,"OŠ F. Albrehta, Šolska ul. 1, Kamnik",46.2217275,14.6087298
261,"DK A. Breznika, Križ 17B, Komenda",46.2011488,14.5674115
262,"OŠ Komenda Moste, Moste, Moste 40, Komenda",46.1920244,14.5476583
263,"OŠ Komenda Moste, Komenda, Glavarjeva 37, Komenda",46.2020794,14.5421223
264,"OŠ Komenda Moste, Komenda, Glavarjeva 37, Komenda",46.2020794,14.5421223
265,"Zavod za turizem Cerkno, Glavni trg 5, 5282 Cerkno",46.1286931,13.9893183
266,"OŠ Cerkno (stranski vhod), Bevkova ul. 26",46.2194557,14.614366
267,"Mlekarna Planina, Planina pri Cerknem 4",46.1243817,14.0071256
268,"DK Bukovo, Bukovo 29",46.1484526,13.906266
269,"Stara mlekarna v Zakojci, Zakojca 2",46.1648043,13.9272296
270,"OŠ Novaki, Dolenji Novaki 26",46.1492599,14.0376319
271,"OŠ Orehek, Orehek 9a",46.1454701,13.9405788
272,"GD Otalež, Otalež 3",46.079625,13.9887044
273,"DK Kladje, Podlanišče 2",46.1101814,14.0131698
274,"Zgradba Rejc Viktorije, Jagršče 2",46.0883558,13.9423121
276,"Prostori Okrepčevalnice Kurn´k, Reka 1a",46.1102193,13.9328069
277,"GD Šebrelje, Šebrelje 59a",46.0921325,13.9168845
278,"VD Poče, Poče 1a",46.153141,13.9828978
279,"KD Ravne, Ravne pri Cerknem 8",46.1223833,13.9569271
280,"GD Zakriž, Zakriž 12",46.1357711,13.9682859
281,"MC Idrija (Dijaški dom), Ul. IX. korpusa 17",46.0024506,14.0233071
282,"Mestna knjižnica, Ulica sv. Barbare 4-5",46.000421,14.0216624
283,"Gimnazija J.Vege, Študentovska ul. 16",46.0015211,14.0190989
284,"OŠ Idrija, Lapajnetova ul. 50",46.0018242,14.0272421
285,"Balinarski klub, Gregorčičeva ulica 8",46.048083,14.5021117
286,"DU Idrija, Arkova ul. 4",46.0998318,14.4639362
288,"Gostilna Pri Fežnarju, Idrijska Bela 15 ",45.9678791,13.9884253
289,"Zgradba Gantar Vlada, Čekovnik 15",45.9869847,13.960367
290,"Prostori DK in gasilcev, Vojsko 24b",46.0250493,13.901803
291,"KD Sp. Idrija, Na vasi 34",46.0319096,14.0266153
292,"OŠ Sp. Idrija, Šolska ul. 9",46.5561822,15.5814911
293,"OŠ Kanomlja, Srednja Kanomlja 20",46.022572,13.9749572
294,"ZDD Idrijske Krnice, Idrijske Krnice 26",46.0498062,13.953033
295,"Zgradba Franca Podobnika, Masore 11",46.0689999,13.9859735
296,"GD Vrsnik, Spodnji Vrsnik 9",46.0186951,14.0987305
297,"OŠ Ledine, Ledine 10",45.9599789,13.6421576
298,"OŠ Črni Vrh, Črni Vrh 95",45.9244957,14.0460632
299,"GD Dole, Dole 1c",45.9965976,14.0693029
300,"OŠ Zavratec, Zavratec 1",45.9908855,14.1300568
301,"OŠ Godovič, Godovič 35b",45.9577914,14.0933105
302,"Turistična pisarna na Logu v Trenti, Trenta 41",46.3824262,13.7544927
303,"OŠ Soča, Soča 28",46.3427044,13.6682396
304,"Prostor KS, Kal-Koritnica 35",46.3365052,13.5806642
305,"OŠ Bovec, Trg golobarskih žrtev 17",46.338771,13.5528319
306,"Kulturni dom Bovec, Ledina 6",46.3884968,14.1089899
307,"Kulturni dom, Log pod Mangartom 54",46.4057375,13.602509
308,"Stara mlekarna, Čezsoča 94",46.3202855,13.54674
309,"OŠ Žaga, Žaga 29",46.3030406,13.4814345
310,"Prostor PGD Srpenica, Srpenica 40a",46.2915925,13.4996289
311,"Bivša mlekarna, Trnovo ob Soči 41",46.2803453,13.5514655
312,"Večnamenski objekt, Logje 4",46.2347735,13.4332808
313,"Gasilski dom, Breginj 92",46.2622154,13.4275718
314,"Večnamenski objekt, Sedlo 29",46.2530143,13.4383619
315,"Bivši bar ""Kuzma"", Borjana 19",46.2561452,13.4830653
316,"Prostor KS, Podbela bš",46.2465472,13.4556506
317,"Mlekarna, Potoki 6",46.4163996,14.1181253
318,"Večnamenski objekt, Staro selo 54",46.2467044,13.5302952
319,"Dom A. Manfrede Kobarid, Gregorčičeva ul. 20",46.0490524,14.497885
320,"KD Kobarid, Stresova ul. 2",46.2475824,13.5773015
321,"Prostor ob šp. igrišču, Sužid bš",46.2427037,13.5525281
322,"Mlekarna, Svino 23",46.2390723,13.5660243
323,"Prostor KS, Idrsko 22a",46.2311226,13.5915426
324,"Bivša OŠ, Livek 11",46.2028714,13.5996665
325,"Garaža (Grosar), Perati 11",46.2016986,13.5934928
326,"Gasilski dom, Drežnica 15a",46.2556013,13.6163807
327,"Prostor KS, Koseč bš",46.2501356,13.6221587
328,"Mlekarna, Drežniške Ravne 4",46.268543,13.6081677
329,"Mlekarna, Magozd 16",46.2694202,13.5937081
330,"OŠ Smast, Smast 13",46.2340638,13.6128318
331,"Družbeni dom, Ladra 43",46.2364027,13.6052624
332,"Prostor KS, Libušnje 7",46.2264681,13.6257641
333,"Garaža PGD Vrsno, Vrsno 37",46.2247999,13.6443743
334,"St. hiša (Manfreda), Krn 8",46.2329148,13.6657946
335,"Prostori KS, Kamno 29 a",46.2137508,13.6354514
336,"Prostor KS, Volarje 33",46.2096393,13.6720842
337,"Mlekarna, Gabrje 9",46.0721634,14.4088735
338,"Mlekarna, Dolje 7",46.1947239,13.7127188
339,"Prostor KS, Zatolmin 1",46.1939437,13.7255953
340,"GŠ Tolmin (vhod iz Preš. ul.), Prešernova ul. 4a",46.2256558,14.6107396
341,"Knjižnica Tolmin, Tumov drevored 6",46.1832459,13.7316908
342,"VDC Tolmin, Rutarjeva ul. 18",46.1843756,13.7378
343,"Rdeči križ Tolmin, Brunov drevored 23",46.1856562,13.7300215
344,"Mlekarna, Žabče 30",46.1896083,13.7415706
345,"Prostor LD, Poljubinj 62",46.1798208,13.7532492
346,"Kulturni dom, Ljubinj 12",46.1687014,13.7714433
347,"Stara OŠ Volče, Volče 25",46.1757811,13.7075578
348,"Družbeni prostor, Čiginj 45",46.1629837,13.7102763
349,"OŠ Most na Soči, Most na Soči 18a",46.1524385,13.7447361
350,"Garaža (Kragelj), Sela pri Volčah 6a",46.1399139,13.7189714
351,"Mlekarna, Modrejce 29 a",46.163028,13.7416483
352,"Garaža (Kofol), Modrej 3",46.1575111,13.7503229
