Unnamed: 0,enota,okraj,id,naslov
4211,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4001 - KOČEVJE,9,"v Kočevju, Roška cesta 10 - GD"
4350,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,17,"Gasilski dom, Otavice 5, Dolenja vas"
4372,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,40,"OŠ Sodražica, CNO 10, Sodražica"
4382,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4002 - RIBNICA-DOBREPOLJE,50,"PRIZMA PONIKVE, Ponikve 76, Videm Dobrepolje"
4595,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,1,"ZADRUŽNI HRAM I., C. 2. grupe odr. 17, Iv. Gorica"
4596,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,2,"ZADRUŽNI HRAM II., C. 2.grupe odr. 17, Iv. Gorica"
4597,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4004 - IVANČNA GORICA,3,"ZD IV. GORICA, C. 2.grupe odr. 16a, Iv. Gorica"
5321,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,13,"GD Rova, Žiška c.10, Rova"
5331,VE 4000 - LJUBLJANA BEŽIGRAD,VO 4010 - DOMŽALE 1,23,"Večnamenski objekt, Češnjice 8, Blagovica"
5559,VE 5000 - CELJE,VO 5001 - ŠENTJUR,4,"Bobnar, Pletovarje 3a, Dramlje"
5561,VE 5000 - CELJE,VO 5001 - ŠENTJUR,7,"GD Dolga Gora, Dolga Gora 50b, Ponikva"
5566,VE 5000 - CELJE,VO 5001 - ŠENTJUR,12,"GD Dobrina, Dobrina 6b, Loka pri Žusmu"
5568,VE 5000 - CELJE,VO 5001 - ŠENTJUR,17,"KD Šentvid, Šentvid 6, Planina pri Sevnici"
5569,VE 5000 - CELJE,VO 5001 - ŠENTJUR,18,"OŠ B. Kocena, Ponikva 29a, Ponikva"
5570,VE 5000 - CELJE,VO 5001 - ŠENTJUR,19,"V prostorih Slovenskih železnic, Hotunje 1,Ponikva"
5571,VE 5000 - CELJE,VO 5001 - ŠENTJUR,20,"Lavbič, Lutrje 16, Ponikva"
5573,VE 5000 - CELJE,VO 5001 - ŠENTJUR,22,"Gostišče Obrez Milan, Žegar 2, Prevorje"
5575,VE 5000 - CELJE,VO 5001 - ŠENTJUR,24,"GVD Javorje, Javorje bš, Gorica pri Slivnici"
5576,VE 5000 - CELJE,VO 5001 - ŠENTJUR,25,"GD Paridol, Paridol bš, Gorica pri Slivnici"
5577,VE 5000 - CELJE,VO 5001 - ŠENTJUR,26,"Krajnc, Voduce 22a, Gorica pri Slivnici"
5578,VE 5000 - CELJE,VO 5001 - ŠENTJUR,27,"Dom Gabernica, Slivnica bš, Gorica pri Slivnici"
5579,VE 5000 - CELJE,VO 5001 - ŠENTJUR,28,"GD Bukovje, Bukovje bš, Gorica pri Slivnici"
5583,VE 5000 - CELJE,VO 5001 - ŠENTJUR,32,"Trgov.Julija-Recko Milena, C.Kozj.odr. 104,Šentjur"
