,Volilna_Enota,Volilni_Okraj,ID_Volisca,Volisce,Št. volilnih upr.,Udelezba-N,Udelezba-%,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SD-N,SD-%,RESNICA-N,RESNICA-%,MI_SOCIALISTI_N,MI_SOCIALISTI-%,GLAS_UPOKOJENCEV-n,GLAS_UPOKOJENCEV-%,SDS-N,SDS-%,LEVICA-N,LEVICA-%,ZAUPANJE- št. glasov,ZAUPANJE- odstotek,PREROD-N,PREROD-%,PIRATI-N,PIRATI-%,NSI-N,NSI-%,SVOBODA-N,SVOBODA-%,ZELENI+SG- št. glasov,ZELENI+SG- odstotek,SLOGA- št. glasov,SLOGA- odstotek,REŠITEV- št. glasov,REŠITEV- odstotek,DEMOKRATI-N,DEMOKRATI-%,SNS- št. glasov,SNS- odstotek,ALTERNATIVA- št. glasov,ALTERNATIVA- odstotek
178,1,2,9702010,OMNIA od: 2010 - za: 1002,0,3,0.0,3,3,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.333333,0,0.0,,,,,1,0.333333,0,0.0,0,0.0
179,1,2,9702011,OMNIA od: 2011 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
180,1,2,9703001,OMNIA od: 3001 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
181,1,2,9703002,OMNIA od: 3002 - za: 1002,0,2,0.0,2,2,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
182,1,2,9704001,OMNIA od: 4001 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
183,1,2,9704002,OMNIA od: 4002 - za: 1002,0,1,0.0,1,1,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
184,1,2,9704003,OMNIA od: 4003 - za: 1002,0,1,0.0,1,1,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
185,1,2,9704004,OMNIA od: 4004 - za: 1002,0,2,0.0,2,2,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
186,1,2,9704007,OMNIA od: 4007 - za: 1002,0,59,0.0,59,59,0,1.0,3,0.050847,1,0.016949,3,0.050847,0,0.0,11,0.186441,12,0.20339,0,0.0,1,0.016949,3,0.050847,9,0.152542,12,0.20339,0,0.0,,,,,4,0.067797,0,0.0,0,0.0
187,1,2,9704010,OMNIA od: 4010 - za: 1002,0,10,0.0,10,10,0,1.0,0,0.0,1,0.1,0,0.0,0,0.0,2,0.2,0,0.0,0,0.0,2,0.2,0,0.0,0,0.0,2,0.2,0,0.0,,,,,3,0.3,0,0.0,0,0.0
188,1,2,9705001,OMNIA od: 5001 - za: 1002,0,0,0.0,0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,0,0.0,0,0.0,0,0.0
189,1,2,9705003,OMNIA od: 5003 - za: 1002,0,5,0.0,5,5,0,1.0,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,,,,,0,0.0,0,0.0,0,0.0
