,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,SMC-N,SMC-%,Zsi-N,Zsi-%,ZELENI-N,ZELENI-%,DD-N,DD-%,SNS-N,SNS-%,POVEŽIMO SE-N,POVEŽIMO SE-%,LMŠ-N,LMŠ-%,NSI-N,NSI-%,SDS_SLS-N,SDS_SLS-%,DOM-N,DOM-%,SD-N,SD-%,LEVICA-N,LEVICA-%,DESUS-N,DESUS-%,SAB-N,SAB-%
33,3.0,Ljubljana Center,8.0,Ljubljana Šiška 1,14364,4807,0.3347,4807,4726,81,1.0,44,0.0093,18,0.0038,149,0.0315,30,0.0063,81,0.0171,128,0.0271,788,0.1667,331,0.07,680,0.1439,104,0.022,1124,0.2378,689,0.1458,272,0.0576,288,0.0609
34,3.0,Ljubljana Center,9.0,Ljubljana Šiška 2,18427,6470,0.3511,6440,6344,96,1.0,75,0.0118,25,0.0039,177,0.0279,28,0.0044,137,0.0216,128,0.0202,1067,0.1682,556,0.0876,987,0.1556,117,0.0184,1473,0.2322,776,0.1223,444,0.07,354,0.0558
35,3.0,Ljubljana Center,10.0,Ljubljana Šiška 3,17103,5950,0.3479,5950,5844,106,1.0,65,0.0111,23,0.0039,172,0.0294,33,0.0056,163,0.0279,122,0.0209,1018,0.1742,581,0.0994,1156,0.1978,117,0.02,1112,0.1903,637,0.109,306,0.0524,339,0.058
36,3.0,Ljubljana Center,11.0,Ljubljana Šiška 4,22073,7525,0.3409,7525,7401,124,1.0,80,0.0108,47,0.0064,256,0.0346,44,0.0059,210,0.0284,138,0.0186,1380,0.1865,1034,0.1397,1613,0.2179,159,0.0215,1220,0.1648,460,0.0622,440,0.0595,320,0.0432
37,4.0,Ljubljana Bežigrad,,,226116,69958,0.3094,69955,68666,1289,1.0,780,0.0114,345,0.005,1635,0.0238,373,0.0054,2428,0.0354,1091,0.0159,12901,0.1879,8153,0.1187,16316,0.2376,1317,0.0192,11848,0.1725,5036,0.0733,3530,0.0514,2913,0.0424
38,4.0,Ljubljana Bežigrad,1.0,Kočevje,14441,3332,0.2307,3332,3265,67,1.0,44,0.0135,23,0.007,70,0.0214,11,0.0034,262,0.0802,21,0.0064,509,0.1559,267,0.0818,643,0.1969,55,0.0168,823,0.2521,176,0.0539,273,0.0836,88,0.027
39,4.0,Ljubljana Bežigrad,2.0,Ribnica,11561,3655,0.3161,3655,3583,72,1.0,36,0.01,29,0.0081,56,0.0156,15,0.0042,182,0.0508,46,0.0128,442,0.1234,730,0.2037,1261,0.3519,57,0.0159,448,0.125,99,0.0276,99,0.0276,83,0.0232
40,4.0,Ljubljana Bežigrad,3.0,Grosuplje,31755,9661,0.3042,9659,9519,140,1.0,124,0.013,41,0.0043,211,0.0222,40,0.0042,279,0.0293,139,0.0146,1200,0.1261,1270,0.1334,3808,0.4,182,0.0191,1191,0.1251,386,0.0406,432,0.0454,216,0.0227
41,4.0,Ljubljana Bežigrad,4.0,Litija,17289,5277,0.3052,5277,5149,128,1.0,57,0.0111,30,0.0058,81,0.0157,28,0.0054,205,0.0398,46,0.0089,1227,0.2383,433,0.0841,1742,0.3383,79,0.0153,626,0.1216,233,0.0453,248,0.0482,114,0.0221
42,4.0,Ljubljana Bežigrad,5.0,Ljubljana Moste-Polje 1,23281,7110,0.3054,7110,6961,149,1.0,76,0.0109,40,0.0057,139,0.02,27,0.0039,266,0.0382,115,0.0165,1375,0.1975,838,0.1204,1585,0.2277,136,0.0195,1258,0.1807,545,0.0783,303,0.0435,258,0.0371
43,4.0,Ljubljana Bežigrad,6.0,Ljubljana Moste-Polje 2,15826,4208,0.2659,4208,4117,91,1.0,55,0.0134,15,0.0036,114,0.0277,17,0.0041,148,0.0359,60,0.0146,828,0.2011,299,0.0726,527,0.128,97,0.0236,932,0.2264,488,0.1185,304,0.0738,233,0.0566
44,4.0,Ljubljana Bežigrad,7.0,Ljubljana Moste-Polje 3,20569,6120,0.2975,6120,6022,98,1.0,60,0.01,25,0.0042,150,0.0249,43,0.0071,190,0.0316,120,0.0199,1034,0.1717,592,0.0983,1093,0.1815,118,0.0196,1220,0.2026,683,0.1134,378,0.0628,316,0.0525
45,4.0,Ljubljana Bežigrad,8.0,Ljubljana Bežigrad 1,23543,8419,0.3576,8418,8264,154,1.0,96,0.0116,30,0.0036,197,0.0238,70,0.0085,215,0.026,167,0.0202,1476,0.1786,911,0.1102,1599,0.1935,162,0.0196,1612,0.1951,767,0.0928,471,0.057,491,0.0594
46,4.0,Ljubljana Bežigrad,9.0,Ljubljana Bežigrad 2,21303,7122,0.3343,7122,7022,100,1.0,92,0.0131,21,0.003,240,0.0342,41,0.0058,184,0.0262,176,0.0251,1071,0.1525,595,0.0847,1040,0.1481,129,0.0184,1600,0.2279,958,0.1364,407,0.058,468,0.0666
47,4.0,Ljubljana Bežigrad,10.0,Domžale 1,24081,7657,0.318,7657,7506,151,1.0,78,0.0104,48,0.0064,169,0.0225,33,0.0044,278,0.037,106,0.0141,1811,0.2413,1294,0.1724,1656,0.2206,154,0.0205,989,0.1318,295,0.0393,268,0.0357,327,0.0436
48,4.0,Ljubljana Bežigrad,11.0,Domžale 2,22467,7360,0.3276,7360,7222,138,1.0,62,0.0086,42,0.0058,207,0.0287,47,0.0065,219,0.0303,95,0.0132,1921,0.266,919,0.1273,1353,0.1873,148,0.0205,1144,0.1584,405,0.0561,341,0.0472,319,0.0442
49,5.0,Celje,,,214097,58335,0.2725,58327,57015,1312,1.0,889,0.0156,416,0.0073,1002,0.0176,276,0.0048,2725,0.0478,2163,0.0379,8487,0.1489,4917,0.0862,15758,0.2764,870,0.0153,10744,0.1884,2609,0.0458,3809,0.0668,2350,0.0412
50,5.0,Celje,1.0,Šentjur pri Celju,17092,4483,0.2623,4483,4357,126,1.0,91,0.0209,63,0.0145,73,0.0168,37,0.0085,264,0.0606,69,0.0158,681,0.1563,418,0.0959,1535,0.3523,41,0.0094,607,0.1393,130,0.0298,220,0.0505,128,0.0294
51,5.0,Celje,2.0,Celje 1,29690,7620,0.2567,7620,7421,199,1.0,174,0.0234,60,0.0081,171,0.023,35,0.0047,380,0.0512,142,0.0191,1056,0.1423,661,0.0891,2151,0.2899,156,0.021,1265,0.1705,415,0.0559,462,0.0623,293,0.0395
52,5.0,Celje,3.0,Celje 2,22429,6088,0.2714,6088,5932,156,1.0,184,0.031,34,0.0057,140,0.0236,34,0.0057,277,0.0467,141,0.0238,949,0.16,357,0.0602,1304,0.2198,115,0.0194,1244,0.2097,480,0.0809,376,0.0634,297,0.0501
53,5.0,Celje,4.0,Žalec 1,17957,4912,0.2735,4912,4833,79,1.0,56,0.0116,32,0.0066,116,0.024,25,0.0052,226,0.0468,147,0.0304,718,0.1486,346,0.0716,1451,0.3002,80,0.0166,812,0.168,179,0.037,353,0.073,292,0.0604
54,5.0,Celje,5.0,Žalec 2,18621,5669,0.3044,5669,5574,95,1.0,78,0.014,55,0.0099,108,0.0194,33,0.0059,275,0.0493,259,0.0465,866,0.1554,595,0.1067,1517,0.2722,94,0.0169,897,0.1609,175,0.0314,410,0.0736,212,0.038
55,5.0,Celje,6.0,Mozirje,13771,4436,0.3221,4434,4337,97,1.0,25,0.0058,23,0.0053,54,0.0125,11,0.0025,142,0.0327,935,0.2156,464,0.107,417,0.0961,1424,0.3283,40,0.0092,395,0.0911,122,0.0281,197,0.0454,88,0.0203
56,5.0,Celje,7.0,Velenje 1,16553,4500,0.2719,4500,4411,89,1.0,33,0.0075,22,0.005,53,0.012,20,0.0045,160,0.0363,156,0.0354,600,0.136,270,0.0612,1045,0.2369,71,0.0161,1264,0.2866,242,0.0549,351,0.0796,124,0.0281
57,5.0,Celje,8.0,Velenje 2,17563,4892,0.2785,4892,4774,118,1.0,53,0.0111,28,0.0059,82,0.0172,24,0.005,286,0.0599,158,0.0331,592,0.124,393,0.0823,1489,0.3119,60,0.0126,953,0.1996,185,0.0388,360,0.0754,111,0.0233
58,5.0,Celje,9.0,Slovenj Gradec,18127,4898,0.2702,4896,4817,79,1.0,53,0.011,23,0.0048,76,0.0158,14,0.0029,206,0.0428,70,0.0145,875,0.1816,357,0.0741,1101,0.2286,88,0.0183,1078,0.2238,230,0.0477,377,0.0783,269,0.0558
59,5.0,Celje,10.0,Ravne na Koroškem,21344,5853,0.2742,5852,5713,139,1.0,65,0.0114,37,0.0065,72,0.0126,25,0.0044,279,0.0488,41,0.0072,856,0.1498,713,0.1248,1318,0.2307,85,0.0149,1233,0.2158,290,0.0508,338,0.0592,361,0.0632
60,5.0,Celje,11.0,Radlje ob Dravi,20950,4938,0.2357,4938,4805,133,1.0,77,0.016,38,0.0079,56,0.0117,18,0.0037,229,0.0477,45,0.0094,824,0.1715,385,0.0801,1408,0.293,38,0.0079,993,0.2067,159,0.0331,362,0.0753,173,0.036
61,6.0,Novo mesto,,,202879,56777,0.2799,56772,55452,1320,1.0,1008,0.0182,444,0.008,917,0.0165,254,0.0046,2766,0.0499,507,0.0091,7710,0.139,5533,0.0998,17291,0.3118,832,0.015,10037,0.181,2937,0.053,3525,0.0636,1691,0.0305
62,6.0,Novo mesto,1.0,Črnomelj,22988,6609,0.2875,6609,6446,163,1.0,88,0.0137,46,0.0071,95,0.0147,29,0.0045,414,0.0642,31,0.0048,875,0.1357,699,0.1084,1832,0.2842,95,0.0147,1226,0.1902,452,0.0701,429,0.0666,135,0.0209
63,6.0,Novo mesto,2.0,Novo mesto 1,26540,6976,0.2628,6976,6829,147,1.0,79,0.0116,53,0.0078,128,0.0187,36,0.0053,410,0.06,61,0.0089,713,0.1044,1052,0.154,2516,0.3684,100,0.0146,956,0.14,251,0.0368,345,0.0505,129,0.0189
64,6.0,Novo mesto,3.0,Novo mesto 2,25806,7572,0.2934,7571,7403,168,1.0,86,0.0116,39,0.0053,161,0.0217,31,0.0042,329,0.0444,109,0.0147,1090,0.1472,851,0.115,1786,0.2413,151,0.0204,1404,0.1897,518,0.07,595,0.0804,253,0.0342
65,6.0,Novo mesto,4.0,Trebnje,16573,4643,0.2802,4643,4531,112,1.0,77,0.017,32,0.0071,66,0.0146,23,0.0051,215,0.0475,43,0.0095,575,0.1269,826,0.1823,1418,0.313,124,0.0274,663,0.1463,164,0.0362,236,0.0521,69,0.0152
66,6.0,Novo mesto,5.0,Brežice,21323,5377,0.2522,5377,5269,108,1.0,207,0.0393,52,0.0099,115,0.0218,26,0.0049,206,0.0391,40,0.0076,758,0.1439,319,0.0605,1803,0.3422,60,0.0114,794,0.1507,356,0.0676,276,0.0524,257,0.0488
67,6.0,Novo mesto,6.0,Krško,23611,6996,0.2963,6996,6838,158,1.0,73,0.0107,93,0.0136,89,0.013,44,0.0064,354,0.0518,43,0.0063,728,0.1065,373,0.0545,3342,0.4887,81,0.0118,842,0.1231,291,0.0426,313,0.0458,172,0.0252
68,6.0,Novo mesto,7.0,Sevnica,15211,4349,0.2859,4348,4236,112,1.0,39,0.0092,29,0.0068,64,0.0151,19,0.0045,196,0.0463,40,0.0094,632,0.1492,309,0.0729,1709,0.4034,68,0.0161,563,0.1329,165,0.039,276,0.0652,127,0.03
