,VE,ENOTA,VO,Volilni_Okraj,Št. volilnih upr.,Udeležba,Odstotek udeležbe,Št. oddanih glasovnic,Št. veljavnih glasovnic,Št. neveljavnih glasovnic,Odstotek preštetih glasovnic,Mandati,DESUS-N,DESUS-%,DOM-N,DOM-%,RESNICA-N,RESNICA-%,SVOBODA-N,SVOBODA-%,ZSI-N,ZSI-%,LEVICA-N,LEVICA-%,LBP-N,LBP-%,LMŠ-N,LMŠ-%,NAŠA_DEŽELA-N,NAŠA_DEŽELA-%,SNP_DD-N,SNP_DD-%,NESTRANKARSKA-N,NESTRANKARSKA-%,NSI-N,NSI-%,PIRATI-N,PIRATI-%,POVEŽIMO-N,POVEŽIMO-%,SDS-N,SDS-%,SNS-N,SNS-%,SD-N,SD-%,SAB-N,SAB-%,VESNA-N,VESNA-%,ZLS-N,ZLS-%,ZOS-N,ZOS-%
30,3.0,Ljubljana Center,5.0,Ljubljana Vič-Rudnik 3,16336,12593,0.7709,12589,12513,76,1.0,1,49,0.0039,28,0.0022,235,0.0188,5099,0.4075,,,1083,0.0865,36,0.0029,495,0.0396,54,0.0043,233,0.0186,189,0.0151,651,0.052,251,0.0201,281,0.0225,1922,0.1536,78,0.0062,992,0.0793,528,0.0422,245,0.0196,64,0.0051,,
31,3.0,Ljubljana Center,6.0,Ljubljana Vič-Rudnik 4,21800,16856,0.7732,16847,16730,117,1.0,1,41,0.0025,28,0.0017,299,0.0179,5811,0.3473,,,1030,0.0616,33,0.002,628,0.0375,172,0.0103,260,0.0155,312,0.0186,1192,0.0712,353,0.0211,467,0.0279,4269,0.2552,141,0.0084,893,0.0534,467,0.0279,256,0.0153,78,0.0047,,
32,3.0,Ljubljana Center,7.0,Ljubljana Center,22220,14465,0.651,14464,14398,66,1.0,2,42,0.0029,26,0.0018,198,0.0138,5461,0.3793,,,2123,0.1475,21,0.0015,518,0.036,66,0.0046,275,0.0191,241,0.0167,747,0.0519,318,0.0221,303,0.021,2158,0.1499,92,0.0064,939,0.0652,547,0.038,278,0.0193,45,0.0031,,
33,3.0,Ljubljana Center,8.0,Ljubljana Šiška 1,14089,10285,0.73,10282,10238,44,1.0,0,33,0.0032,31,0.003,172,0.0168,4500,0.4395,,,1074,0.1049,23,0.0022,416,0.0406,59,0.0058,260,0.0254,173,0.0169,427,0.0417,243,0.0237,167,0.0163,1302,0.1272,59,0.0058,690,0.0674,369,0.036,185,0.0181,55,0.0054,,
34,3.0,Ljubljana Center,9.0,Ljubljana Šiška 2,18149,13491,0.7433,13490,13411,79,1.0,2,53,0.004,33,0.0025,313,0.0233,5389,0.4018,,,1235,0.0921,45,0.0034,549,0.0409,74,0.0055,321,0.0239,216,0.0161,693,0.0517,251,0.0187,259,0.0193,1865,0.1391,88,0.0066,1172,0.0874,542,0.0404,237,0.0177,76,0.0057,,
35,3.0,Ljubljana Center,10.0,Ljubljana Šiška 3,16955,12868,0.759,12867,12801,66,1.0,1,37,0.0029,25,0.002,306,0.0239,5330,0.4164,,,905,0.0707,30,0.0023,543,0.0424,83,0.0065,241,0.0188,225,0.0176,717,0.056,246,0.0192,309,0.0241,2112,0.165,95,0.0074,836,0.0653,472,0.0369,215,0.0168,74,0.0058,,
36,3.0,Ljubljana Center,11.0,Ljubljana Šiška 4,22472,17813,0.7927,17813,17680,133,1.0,0,66,0.0037,33,0.0019,506,0.0286,6641,0.3756,,,759,0.0429,67,0.0038,771,0.0436,172,0.0097,285,0.0161,317,0.0179,1533,0.0867,386,0.0218,420,0.0238,3657,0.2068,186,0.0105,912,0.0516,570,0.0322,291,0.0165,108,0.0061,,
37,4.0,Ljubljana Bežigrad,,,208503,153531,0.7363,153513,152350,1163,1.0,11,736,0.0048,276,0.0018,3436,0.0226,55818,0.3664,,,8391,0.0551,523,0.0034,7442,0.0488,1336,0.0088,3153,0.0207,2588,0.017,11357,0.0745,2985,0.0196,3100,0.0203,32120,0.2108,1813,0.0119,9419,0.0618,4435,0.0291,2444,0.016,978,0.0064,,
38,4.0,Ljubljana Bežigrad,1.0,Kočevje,14210,9043,0.6364,9043,8942,101,1.0,1,67,0.0075,11,0.0012,289,0.0323,3196,0.3574,,,307,0.0343,48,0.0054,248,0.0277,57,0.0064,168,0.0188,110,0.0123,550,0.0615,96,0.0107,112,0.0125,1806,0.202,226,0.0253,1242,0.1389,281,0.0314,76,0.0085,52,0.0058,,
39,4.0,Ljubljana Bežigrad,2.0,Ribnica-Dobrepolje,14529,10411,0.7166,10410,10301,109,1.0,2,49,0.0048,12,0.0012,175,0.017,2299,0.2232,,,270,0.0262,26,0.0025,291,0.0282,151,0.0147,199,0.0193,177,0.0172,1845,0.1791,132,0.0128,240,0.0233,3574,0.347,155,0.015,374,0.0363,177,0.0172,107,0.0104,48,0.0047,,
40,4.0,Ljubljana Bežigrad,3.0,Grosuplje,15897,12087,0.7603,12083,12009,74,1.0,1,64,0.0053,31,0.0026,229,0.0191,3726,0.3103,,,469,0.0391,24,0.002,411,0.0342,111,0.0092,184,0.0153,273,0.0227,928,0.0773,189,0.0157,345,0.0287,3871,0.3223,127,0.0106,516,0.043,238,0.0198,202,0.0168,71,0.0059,,
41,4.0,Ljubljana Bežigrad,4.0,Ivančna Gorica,13132,10094,0.7687,10094,10001,93,1.0,0,57,0.0057,23,0.0023,173,0.0173,2560,0.256,,,311,0.0311,23,0.0023,348,0.0348,222,0.0222,151,0.0151,160,0.016,709,0.0709,157,0.0157,285,0.0285,3921,0.3921,114,0.0114,453,0.0453,151,0.0151,135,0.0135,48,0.0048,,
42,4.0,Ljubljana Bežigrad,5.0,Ljubljana Moste-Polje 1,23329,17197,0.7372,17195,17063,132,1.0,0,60,0.0035,23,0.0013,406,0.0238,6661,0.3904,,,886,0.0519,58,0.0034,794,0.0465,126,0.0074,410,0.024,278,0.0163,1109,0.065,352,0.0206,336,0.0197,3424,0.2007,202,0.0118,1029,0.0603,480,0.0281,270,0.0158,159,0.0093,,
43,4.0,Ljubljana Bežigrad,6.0,Ljubljana Moste-Polje 2,15339,10354,0.675,10349,10262,87,1.0,1,64,0.0062,17,0.0017,250,0.0244,4433,0.432,,,808,0.0787,61,0.0059,428,0.0417,50,0.0049,442,0.0431,178,0.0173,358,0.0349,180,0.0175,163,0.0159,1297,0.1264,87,0.0085,776,0.0756,429,0.0418,160,0.0156,81,0.0079,,
44,4.0,Ljubljana Bežigrad,7.0,Ljubljana Moste-Polje 3,20250,14150,0.6988,14149,14037,112,1.0,1,88,0.0063,31,0.0022,376,0.0268,5743,0.4091,,,1162,0.0828,60,0.0043,595,0.0424,69,0.0049,339,0.0242,242,0.0172,730,0.052,302,0.0215,261,0.0186,2124,0.1513,122,0.0087,978,0.0697,489,0.0348,228,0.0162,98,0.007,,
45,4.0,Ljubljana Bežigrad,8.0,Ljubljana Bežigrad 1,23372,18034,0.7716,18032,17932,100,1.0,1,72,0.004,33,0.0018,396,0.0221,7321,0.4083,,,1230,0.0686,53,0.003,809,0.0451,116,0.0065,285,0.0159,295,0.0165,1182,0.0659,371,0.0207,337,0.0188,3055,0.1704,175,0.0098,1163,0.0649,631,0.0352,321,0.0179,87,0.0049,,
46,4.0,Ljubljana Bežigrad,9.0,Ljubljana Bežigrad 2,21134,15303,0.7241,15300,15211,89,1.0,2,53,0.0035,31,0.002,294,0.0193,6319,0.4154,,,1573,0.1034,44,0.0029,728,0.0479,83,0.0055,323,0.0212,246,0.0162,705,0.0463,407,0.0268,281,0.0185,2072,0.1362,122,0.008,997,0.0655,542,0.0356,304,0.02,87,0.0057,,
47,4.0,Ljubljana Bežigrad,10.0,Domžale 1,24506,19179,0.7826,19179,19014,165,1.0,1,81,0.0043,32,0.0017,420,0.0221,6595,0.3468,,,597,0.0314,59,0.0031,1426,0.075,216,0.0114,333,0.0175,287,0.0151,1963,0.1032,411,0.0216,429,0.0226,3972,0.2089,302,0.0159,921,0.0484,465,0.0245,367,0.0193,138,0.0073,,
48,4.0,Ljubljana Bežigrad,11.0,Domžale 2,22805,17679,0.7752,17679,17578,101,1.0,1,81,0.0046,32,0.0018,428,0.0243,6965,0.3962,,,778,0.0443,67,0.0038,1364,0.0776,135,0.0077,319,0.0181,342,0.0195,1278,0.0727,388,0.0221,311,0.0177,3004,0.1709,181,0.0103,970,0.0552,552,0.0314,274,0.0156,109,0.0062,,
49,5.0,Celje,,,211981,151805,0.7161,151792,150432,1360,1.0,11,1002,0.0067,218,0.0014,4756,0.0316,46410,0.3085,,,4786,0.0318,501,0.0033,4722,0.0314,2544,0.0169,2574,0.0171,2086,0.0139,11026,0.0733,2169,0.0144,4728,0.0314,41017,0.2727,2834,0.0188,12307,0.0818,3433,0.0228,2122,0.0141,1197,0.008,,
50,5.0,Celje,1.0,Šentjur,17077,12253,0.7175,12251,12159,92,1.0,1,122,0.01,17,0.0014,341,0.028,3167,0.2605,,,242,0.0199,22,0.0018,345,0.0284,239,0.0197,172,0.0141,151,0.0124,799,0.0657,154,0.0127,598,0.0492,4339,0.3569,362,0.0298,588,0.0484,247,0.0203,123,0.0101,131,0.0108,,
